# run    charge (nC)   live time     live charge (nC)
   957   10136.1         1   10136.1
  1059   7751.59  0.794357   6157.49
  1062   18696.7  0.796756   14887.3
  1071   1575.48  0.680171   1071.55
  1072   3009.32  0.764658   2179.74
  1075   21166.1  0.688282   13974.5
  1076   15045.8  0.771013   9909.15
  1077     38019  0.656614   24960.5
  1079   34844.5   0.68758   22899.8
  1080   36781.7  0.904472   33239.2
  1081   36148.5  0.674941   23757.3
  1082   35918.8  0.662745   23664.8
  1083   36002.4  0.658919   23716.4
  1084     35496  0.904946   32090.2
  1085   34877.8  0.665807   23020.6
  1086   34624.8  0.661945   22911.9
  1087     34444   0.66662   22890.2
  1088   28173.3  0.913088   25596.2
  1091   34002.1  0.904794   30763.9
  1092   34642.2  0.655807   22651.2
  1093   34291.3  0.616603   21086.4
  1094   29983.7  0.601744   17331.3
  1096   8682.29  0.723972   5793.23
  1099   8294.97  0.821374   5796.82
  1100   21299.7   0.68738   13973.3
  1101   32389.9   0.66222   21137.8
  1103   29611.2  0.901281   26666.6
  1104   35997.7  0.649083   23336.3
  1105   35211.7  0.649503     22870
  1106   12185.6   0.64756   7890.87
  1123   30946.4  0.917898     28405
  1125   29792.6  0.913815   27224.3
  1126   31305.1  0.908357   28435.1
  1127   7740.09  0.853823   6608.98
  1129   13725.3  0.850878   11678.4
  1130         0         0         0
  1135   29826.3  0.861258   25686.4
  1136   31199.2  0.639597   19954.4
  1137   9377.08  0.645266   6050.14
  1147   4806.43  0.914668   4396.28
  1153   26971.9  0.901563   24316.8
  1154   28145.2  0.898302   25282.9
  1155   31218.5  0.632949   19759.6
  1158   34583.4  0.627448   21699.1
  1159   34305.5  0.630009   21612.6
  1160   38616.2  0.628965   24288.1
  1161   35955.9  0.897368   32265.7
  1163     10300  0.900531   9275.48
  1197   32503.9  0.901533   29303.3
  1198   20730.9  0.896937   18594.3
  1201   35397.6  0.632238   22379.5
  1202   36904.1  0.630112   23253.6
  1203   41900.7  0.628164   26320.3
  1205     37814  0.627942   23744.9
  1206   37964.4  0.622106   23617.7
  1207   32461.2  0.626501   20336.8
  1237   30236.9  0.981329   29672.3
  1238   2570.76  0.915904   2354.56
  1240   36722.3  0.914915   33597.6
  1241   34636.8  0.914329   31669.3
  1242   32960.3   0.91419   30131.8
  1243   53864.5   0.91246   49148.8
  1287   42134.6  0.866212   36497.2
  1288   46520.9  0.875551   40731.3
  1289   51194.2  0.972826   49803.1
  1290   38802.7  0.876092   33994.6
  1291   52364.5  0.876013   45871.8
  1292   52600.4  0.874016   45973.4
  1293   11226.2  0.871453   9782.97
  1294   47488.2  0.971666   46142.6
  1295   44082.5  0.869439   38326.7
  1296   4157.16     0.861    3579.3
  1301   16689.9  0.873378   14576.4
  1302   44505.9   0.86157   38344.7
  1303   47622.4  0.874368   41639.3
  1304   49583.7  0.864706   42875.1
  1305         0         0         0
  1306   48289.4  0.973968   47032.3
  1307     44150  0.861304   38026.4
  1308   43213.1  0.860447   37182.3
  1309   44806.2   0.85429   38277.3
  1310   9936.29  0.856099   8506.51
  1311   51370.3  0.851655   43749.5
  1312   43061.1  0.973902   41937.3
  1313   45893.8  0.868609   39863.3
  1314   51120.8   0.85819     43871
  1315   47508.3  0.854354   40588.5
  1316   48209.3  0.868766   41882.4
  1317   47230.3  0.971356   45877.5
  1318   45895.2  0.972635   44639.3
  1319   43474.9  0.856366   37230.4
  1320   44814.5  0.849279   38059.5
  1322   43300.2  0.860212   37246.9
  1323   49364.1  0.862412   42572.1
  1324   43656.5   0.97119   42398.7
  1325   46961.2  0.865983   40667.4
  1326   45882.9  0.971618   44580.6
  1327   45613.5  0.972441   44356.5
  1328     24029  0.862136   20716.2
  1329     29085  0.972205   28276.6
  1330   42192.3  0.972336   41025.1
  1331   43929.4  0.861544   37846.9
  1332   8525.64  0.856122   7299.01
  1334   11169.9  0.839641   9378.41
  1336   37495.6  0.864052   32397.8
  1337   44266.4   0.86356   38226.5
  1338     42630  0.854778   36438.8
  1339   47072.7  0.971653   45738.3
  1340     41039  0.862617     35401
  1341   60109.4  0.848909   51027.2
  1342   35520.9  0.979409   34789.5
  1345   4980.98  0.804586   3996.96
  1362   43885.4  0.969468   42545.2
  1369   7450.66  0.994089   7406.63
  1370   2894.23  0.951446   2753.69
  1371   74079.4  0.951063   70452.7
  1372   79768.4  0.950605   75823.9
  1373   79566.8  0.949878   75572.3
  1374   91178.4  0.948827   86509.9
  1381   56940.7  0.990513   56400.3
  1382   73007.2  0.950283   69376.4
  1383   79897.7  0.952282   76083.7
  1384   75932.6  0.947646   71956.9
  1385   72679.2  0.948582   68940.9
  1386         0         0         0
  1387   8055.75  0.991216   7984.99
  1394    163108  0.895033    145975
  1395    146303  0.896627    131172
  1396    151395  0.898299    135995
  1397    134174  0.895803    120187
  1399    165527  0.980528    162306
  1400    142177  0.896642    127481
  1401    166347  0.896115    149056
  1404    162765  0.893832    145483
  1405    154600  0.897785    138796
  1406   86458.5  0.981232   84835.8
  1411   86940.4  0.981357   85319.5
  1412    140092  0.895121    125398
  1413    140981  0.895724    126277
  1415    151778  0.896532    136073
  1416    147519  0.896412    132237
  1417    117102  0.981997    114993
  1418    155003  0.981185    152086
  1420   50760.4  0.896398   45501.1
  1421    142018  0.896182    127273
  1422    165920  0.896795    148795
  1423    131067   0.89621    117463
  1424    146835  0.892022    130979
  1425    138201   0.98123    135607
  1426    134553  0.892152    120042
  1427    150726  0.894741    134860
  1428   9433.36  0.895022   8442.96
  1429    159933  0.894793    143106
  1430    157880  0.891548    140757
  1431    102172  0.980868    100217
  1443    176836  0.895262    158314
  1444    177614  0.894704    158911
  1445    177570  0.894323    158803
  1446    164944  0.896149    147813
  1447         0         0         0
  1448    128472  0.981099    126043
  1449    113217  0.897866    101653
  1451    216715   0.89732    194462
  1452    151365   0.89685    135751
  1453    138770  0.896926    124465
  1454    136223  0.980967    133631
  1455    143219  0.896811    128440
  1456    138717  0.896642    124379
  1457    156508  0.892267    139647
  1458    155088  0.895227    138838
  1459    119719  0.981043    117450
  1460    143198  0.898613    128679
  1461    137853  0.898177    123816
